"Amps","Latency","ID","Day","Sex","Weight","BL","Treatment","Surgery","DP1","EODonset"
0.0159444719881011,4.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.0314129895884977,4.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.0342885473475457,4.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.124224095190877,4.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.28196331184928,4.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.467188894397619,5.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.604581060981654,5.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.61013386217154,5.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.827783837382251,5.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.691502231036193,5.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.858344075359442,6.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.882895389191866,6.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.803688646504707,6.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.719167079821515,6.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.606822012890429,6.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.54391670798215,7.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.350342092216161,7.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.635022310361925,7.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.663004462072383,7.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.634685176003964,7.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.653763014377787,8.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.135845314823996,8.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.406762518591967,8.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.447932573128407,8.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.701417947446704,8.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.69181953396133,9.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.459910758552304,9.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.477104610808129,9.4036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.628894397620226,9.6036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
